Player,Nation,Pos,Squad,Age,URL
Himad Abdelli,FRA,MFFW,Angers,23,https://www.wikidata.org/wiki/Q58303150
Abdoulaye Bamba,CIV,DF,Angers,32,https://en.wikipedia.org/wiki/Abdoulaye_Bamba
Ibrahim Amadou,FRA,DFMF,Angers,29,https://en.wikipedia.org/wiki/Ibrahim_Amadou
Mohamed Elneny,EGY,MF,Arsenal,30,https://www.wikidata.org/wiki/Q3318533
Gabriel Dos Santos,BRA,DF,Arsenal,25,https://www.wikidata.org/wiki/Q2164391
Rob Holding,ENG,DF,Arsenal,27,https://www.wikidata.org/wiki/Q21061767
Cameron Archer,ENG,FWMF,Aston Villa,21,https://www.wikidata.org/wiki/Q66779547
Leon Bailey,JAM,FWMF,Aston Villa,25,https://www.wikidata.org/wiki/Q20890178
Ludwig Augustinsson,SWE,DF,Aston Villa,28,https://www.wikidata.org/wiki/Q4806248
Merih Demiral,TUR,DF,Atalanta,24,https://www.wikidata.org/wiki/Q29047921
Berat Djimsiti,ALB,DF,Atalanta,29,https://www.wikidata.org/wiki/Q15197300
Jeremie Boga,CIV,MFFW,Atalanta,26,https://www.wikidata.org/wiki/Q20925240
Julian Baumgartlinger,AUT,MF,Augsburg,35,https://www.wikidata.org/wiki/Q697255
Noah Joel Sarenren Bazee,NGA,FW,Augsburg,26,https://en.wikipedia.org/wiki/Noah_Sarenren_Bazee
Maximilian Bauer,GER,DF,Augsburg,23,"https://en.wikipedia.org/wiki/Maximilian_Bauer_(footballer,_born_2000)"
Jordi Alba,ESP,DF,Barcelona,33,https://www.wikidata.org/wiki/Q187159
Ronald Araújo,URU,DF,Barcelona,23,https://www.wikidata.org/wiki/Q56332606
Marcos Alonso,ESP,DF,Barcelona,32,https://www.wikidata.org/wiki/Q442838
João Cancelo,POR,DFFW,Bayern Munich,28,https://www.wikidata.org/wiki/Q6298063
Daley Blind,NED,MFDF,Bayern Munich,32,https://www.wikidata.org/wiki/Q128912
Kingsley Coman,FRA,FWMF,Bayern Munich,26,https://www.wikidata.org/wiki/Q6413296
Musa Barrow,GAM,FWMF,Bologna,24,https://www.wikidata.org/wiki/Q48573556
Michel Aebischer,SUI,FWMF,Bologna,26,https://www.wikidata.org/wiki/Q27469951
Marko Arnautovi?,AUT,FW,Bologna,33,https://www.wikidata.org/wiki/Q313575
Haris Belkebla,ALG,MF,Brest,29,https://www.wikidata.org/wiki/Q17579882
Taïryk Arconte,FRA,FWMF,Brest,19,https://en.wikipedia.org/wiki/Ta%C3%AFryk_Arconte
Youcef Belaïli,ALG,FWMF,Brest,30,https://www.wikidata.org/wiki/Q3572787
Moisés Caicedo,ECU,MF,Brighton,21,https://www.wikidata.org/wiki/Q87715532
Julio César Enciso,PAR,FWMF,Brighton,19,https://www.wikidata.org/wiki/Q85872272
Facundo Buonanotte,ARG,MFFW,Brighton,18,https://www.wikidata.org/wiki/Q113028093
Iago Aspas,ESP,FW,Celta Vigo,35,https://www.wikidata.org/wiki/Q26380
Fran Beltrán,ESP,MF,Celta Vigo,24,https://www.wikidata.org/wiki/Q26475869
Joseph Aidoo,GHA,DF,Celta Vigo,27,https://www.wikidata.org/wiki/Q21042828
César Azpilicueta,ESP,DF,Chelsea,33,https://www.wikidata.org/wiki/Q294806
Pierre-Emerick Aubameyang,GAB,FW,Chelsea,33,https://www.wikidata.org/wiki/Q44977
Kepa Arrizabalaga,ESP,GK,Chelsea,28,https://www.wikidata.org/wiki/Q3195361
Joachim Andersen,DEN,DF,Crystal Palace,26,https://www.wikidata.org/wiki/Q15943423
Jordan Ayew,GHA,FWMF,Crystal Palace,31,https://www.wikidata.org/wiki/Q367861
Naouirou Ahamada,FRA,MFFW,Crystal Palace,20,https://en.wikipedia.org/wiki/Naouirou_Ahamada
Pedro Bigas,ESP,DF,Elche,32,https://en.wikipedia.org/wiki/Pedro_Bigas
Édgar Badía,ESP,GK,Elche,31,https://www.wikidata.org/wiki/Q10557934
Alejandro Alfaro,ESP,MF,Elche,20,https://www.wikidata.org/wiki/Q385686
Dele Alli,ENG,MF,Everton,26,https://www.wikidata.org/wiki/Q10553748
Asmir Begovi?,BIH,GK,Everton,35,https://www.wikidata.org/wiki/Q431368
Dominic Calvert-Lewin,ENG,FW,Everton,25,https://www.wikidata.org/wiki/Q19956709
Sofyan Amrabat,MAR,MF,Fiorentina,26,https://www.wikidata.org/wiki/Q18428483
Arthur,BRA,FW,Fiorentina,24,https://www.wikidata.org/wiki/Q312508
Antonín Barák,CZE,MF,Fiorentina,28,https://www.wikidata.org/wiki/Q21293144
Ritsu Doan,JPN,FWMF,Freiburg,24,https://www.wikidata.org/wiki/Q20630956
Maximilian Eggestein,GER,MF,Freiburg,26,https://www.wikidata.org/wiki/Q21175165
Mark Flekken,NED,GK,Freiburg,29,https://www.wikidata.org/wiki/Q5811691
Tosin Adarabioyo,ENG,DF,Fulham,25,https://www.wikidata.org/wiki/Q21620666
Tom Cairney,SCO,MF,Fulham,32,https://www.wikidata.org/wiki/Q1061904
Nathaniel Chalobah,ENG,MF,Fulham,28,https://www.wikidata.org/wiki/Q36696865
Ángel Algobia,ESP,MF,Getafe,23,https://en.wikipedia.org/wiki/%C3%81ngel_Algobia
Carles Aleñá,ESP,MF,Getafe,25,https://www.wikidata.org/wiki/Q21546191
Omar Alderete,PAR,DF,Getafe,26,https://en.wikipedia.org/wiki/Omar_Alderete
Kevin Akpoguma,NGA,DF,Hoffenheim,27,https://www.wikidata.org/wiki/Q982975
Angeliño,ESP,DF,Hoffenheim,26,https://www.wikidata.org/wiki/Q20688718
Fisnik Asllani,KVX,FWMF,Hoffenheim,20,https://www.wikidata.org/wiki/Q109653419
Nicolò Barella,ITA,MF,Inter,26,https://www.wikidata.org/wiki/Q20090225
Francesco Acerbi,ITA,DF,Inter,35,https://www.wikidata.org/wiki/Q531302
Kristjan Asllani,ALB,MF,Inter,20,https://www.wikidata.org/wiki/Q106313163
Federico Chiesa,ITA,DFFW,Juventus,25,https://www.wikidata.org/wiki/Q26704703
Gleison Bremer,BRA,DF,Juventus,25,https://en.wikipedia.org/wiki/Gleison_Bremer
Leonardo Bonucci,ITA,DF,Juventus,35,https://www.wikidata.org/wiki/Q208050
Felipe Anderson,BRA,FW,Lazio,29,https://www.wikidata.org/wiki/Q794628
Luis Alberto,ESP,MF,Lazio,30,https://www.wikidata.org/wiki/Q248228
Marcos Antônio,BRA,MF,Lazio,22,https://www.wikidata.org/wiki/Q1894022
Salis Abdul Samed,GHA,MF,Lens,22,https://www.wikidata.org/wiki/Q68110291
Patrick Berg,NOR,MFFW,Lens,25,https://www.wikidata.org/wiki/Q18066870
Ismaëlben Boura,FRA,DFFW,Lens,22,https://en.wikipedia.org/wiki/Isma%C3%ABl_Boura
Carlos Baleba,CMR,MF,Lille,19,https://www.wikidata.org/wiki/Q113472432
Benjamin André,FRA,MF,Lille,32,https://www.wikidata.org/wiki/Q2475780
Jonathan Bamba,FRA,FW,Lille,26,https://www.wikidata.org/wiki/Q18921387
Trent Alexander-Arnold,ENG,DF,Liverpool,24,https://www.wikidata.org/wiki/Q27569376
Thiago Alcántara,ESP,MF,Liverpool,31,https://www.wikidata.org/wiki/Q17493
Alisson,BRA,GK,Liverpool,30,https://www.wikidata.org/wiki/Q18237361
Adil Aouchiche,FRA,MFFW,Lorient,20,https://www.wikidata.org/wiki/Q63636233
Quentin Boisgard,FRA,MF,Lorient,25,https://en.wikipedia.org/wiki/Quentin_Boisgard
Laurent Abergel,FRA,MF,Lorient,30,https://www.wikidata.org/wiki/Q15627798
Houssem Aouar,FRA,MF,Lyon,24,https://www.wikidata.org/wiki/Q27927442
Jérôme Boateng,GER,DF,Lyon,34,https://www.wikidata.org/wiki/Q151260
Bradley Barcola,FRA,FWMF,Lyon,20,https://www.wikidata.org/wiki/Q99670930
Leandro Barreiro Martins,LUX,MF,Mainz 05,23,https://www.wikidata.org/wiki/Q50827917
Aymen Barkok,MAR,MF,Mainz 05,24,https://www.wikidata.org/wiki/Q27892157
Ludovic Ajorque,FRA,FW,Mainz 05,28,https://www.wikidata.org/wiki/Q27671219
Manuel Akanji,SUI,DF,Manchester City,27,https://www.wikidata.org/wiki/Q19938984
Nathan Aké,NED,DF,Manchester City,27,https://www.wikidata.org/wiki/Q1755683
Julián Álvarez,ARG,FWMF,Manchester City,23,https://www.wikidata.org/wiki/Q59381180
Eric Bailly,CIV,DF,Marseille,28,https://www.wikidata.org/wiki/Q18637352
Leonardo Balerdi,ARG,DF,Marseille,24,https://www.wikidata.org/wiki/Q50233588
Cédric Bakambu,COD,MF,Marseille,31,https://www.wikidata.org/wiki/Q932982
Ruben Aguilar,FRA,DF,Monaco,29,https://www.wikidata.org/wiki/Q20090069
Maghnes Akliouche,FRA,MFDF,Monaco,20,https://www.wikidata.org/wiki/Q108910786
Benoît Badiashile,FRA,DF,Monaco,21,https://www.wikidata.org/wiki/Q57704058
Nicolas Cozza,FRA,DF,Montpellier,24,https://www.wikidata.org/wiki/Q43369696
Joris Chotard,FRA,MF,Montpellier,21,https://www.wikidata.org/wiki/Q66364616
Matis Carvalho,POR,GK,Montpellier,23,https://en.wikipedia.org/wiki/Matis_Carvalho
Dennis Appiah,FRA,DFMF,Nantes,30,https://www.wikidata.org/wiki/Q5258151
Ludovic Blas,FRA,MFFW,Nantes,25,https://www.wikidata.org/wiki/Q22003400
Mohamed Achi,FRA,FW,Nantes,21,https://www.wikidata.org/wiki/Q112107491
Diego Demme,GER,MF,Napoli,31,https://en.wikipedia.org/wiki/Diego_Demme
Giovanni Di Lorenzo,ITA,DF,Napoli,29,https://www.wikidata.org/wiki/Q14831282
Elif Elmas,MKD,FWMF,Napoli,23,https://www.wikidata.org/wiki/Q25409292
Ross Barkley,ENG,FWMF,Nice,29,https://www.wikidata.org/wiki/Q326240
Youcef Atal,ALG,DFMF,Nice,26,https://www.wikidata.org/wiki/Q30349597
Melvin Bard,FRA,DF,Nice,22,https://www.wikidata.org/wiki/Q55865078
Darko Braanac,SRB,MF,Osasuna,31,https://www.wikidata.org/wiki/Q698109
Kike Barja,ESP,FWMF,Osasuna,25,https://www.wikidata.org/wiki/Q32236556
Ezequiel Ávila,ARG,FWMF,Osasuna,29,https://www.wikidata.org/wiki/Q19949691
Janis Blaswich,GER,GK,RB Leipzig,31,https://www.wikidata.org/wiki/Q20435757
Sanoussy Ba,GER,DF,RB Leipzig,19,https://en.wikipedia.org/wiki/Sanoussy_Ba
Abdou Diallo,SEN,DFMF,RB Leipzig,26,https://www.wikidata.org/wiki/Q18685713
Karim Benzema,FRA,FW,Real Madrid,35,https://www.wikidata.org/wiki/Q1912
David Alaba,AUT,DF,Real Madrid,30,https://www.wikidata.org/wiki/Q31981
Marco Asensio,ESP,FWMF,Real Madrid,27,https://www.wikidata.org/wiki/Q16148978
Ander Barrenetxea,ESP,FWDF,Real Sociedad,21,https://www.wikidata.org/wiki/Q59823403
Mohamed Ali Cho,FRA,FW,Real Sociedad,19,https://www.wikidata.org/wiki/Q98777530
Aritz Elustondo,ESP,DF,Real Sociedad,28,https://www.wikidata.org/wiki/Q16516257
Martin Adeline,FRA,MFFW,Reims,19,https://en.wikipedia.org/wiki/Martin_Adeline
Yunis Abdelhamid,MAR,DF,Reims,35,https://www.wikidata.org/wiki/Q3573237
Emmanuel Agbadou,CIV,DF,Reims,25,https://www.wikidata.org/wiki/Q69523791
Matthis Abline,FRA,FWMF,Rennes,19,https://www.wikidata.org/wiki/Q106621865
Lorenz Assignon,TOG,DF,Rennes,22,https://www.wikidata.org/wiki/Q108199499
Doðan Alemdar,TUR,GK,Rennes,20,https://translate.google.com/translate?u=https://en.wikipedia.org/wiki/Do%25C4%259Fan_Alemdar&hl=vi&sl=en&tl=vi&client=srp&prev=search
Tammy Abraham,ENG,FW,Roma,25,https://www.wikidata.org/wiki/Q24050378
Edoardo Bove,ITA,MF,Roma,20,https://www.wikidata.org/wiki/Q106775510
Andrea Belotti,ITA,FW,Roma,29,https://www.wikidata.org/wiki/Q4754963
Emil Audero,ITA,GK,Sampdoria,26,https://www.wikidata.org/wiki/Q17410409
Tommaso Augello,ITA,DF,Sampdoria,28,https://en.wikipedia.org/wiki/Tommaso_Augello
Bruno Amione,ARG,DF,Sampdoria,21,https://en.wikipedia.org/wiki/Bruno_Amione
Kaan Ayhan,TUR,DF,Sassuolo,28,https://www.wikidata.org/wiki/Q3191617
Janis Antiste,FRA,FW,Sassuolo,20,https://www.wikidata.org/wiki/Q84571690
Agustín Álvarez Martínez,URU,FWMF,Sassuolo,21,https://www.wikidata.org/wiki/Q99390386
Éder Álvarez Balanta,COL,MF,Schalke 04,29,https://www.wikidata.org/wiki/Q6174184
Mehmet-Can Aydin,GER,DF,Schalke 04,21,https://www.wikidata.org/wiki/Q106352999
Cédric Brunner,SUI,DF,Schalke 04,28,https://en.wikipedia.org/wiki/C%C3%A9dric_Brunner
Loïc Bade,FRA,DF,Sevilla,22,https://www.wikidata.org/wiki/Q81741599
Carlos Álvarez,ESP,FW,Sevilla,19,https://www.wikidata.org/wiki/Q10555413
Marcos Acuña,ARG,DF,Sevilla,31,https://www.wikidata.org/wiki/Q17462635
Joe Aribo,NGA,MFFW,Southampton,26,https://www.wikidata.org/wiki/Q27469960
Che Adams,SCO,FW,Southampton,26,https://www.wikidata.org/wiki/Q18683792
Carlos Alcaraz,ARG,MF,Southampton,20,https://www.wikidata.org/wiki/Q88130791
Kevin Agudelo,COL,MFFW,Spezia,24,https://en.wikipedia.org/wiki/Kevin_Agudelo
Ethan Ampadu,WAL,DFMF,Spezia,22,https://www.wikidata.org/wiki/Q26250324
Kelvin Amian,FRA,DF,Spezia,25,https://www.wikidata.org/wiki/Q26405176
Jean-Eudes Aholou,CIV,MF,Strasbourg,28,https://en.wikipedia.org/wiki/Jean-Eudes_Aholou
Ludovic Ajorque,FRA,FW,Strasbourg,28,https://www.wikidata.org/wiki/Q27671219
Jean-Ricner Bellegarde,FRA,MF,Strasbourg,24,https://www.wikidata.org/wiki/Q26251607
Brian Bayeye,FRA,DF,Torino,22,https://en.wikipedia.org/wiki/Brian_Bayeye
Alessandro Buongiorno,ITA,DF,Torino,23,https://www.wikidata.org/wiki/Q51389133
Ola Aina,NGA,DF,Torino,26,https://www.wikidata.org/wiki/Q20730338
Yves Bissouma,MLI,MF,Tottenham,26,https://www.wikidata.org/wiki/Q22683033
Bryan,ESP,MFFW,Tottenham,22,https://www.wikidata.org/wiki/Q49561427
Rodrigo Bentancur,URU,MF,Tottenham,25,https://www.wikidata.org/wiki/Q18817134
Rodrigo Becão,BRA,DF,Udinese,27,https://www.wikidata.org/wiki/Q55655668
Beto,GNB,FW,Udinese,25,https://www.wikidata.org/wiki/Q313955
Tolgay Arslan,GER,MF,Udinese,32,https://www.wikidata.org/wiki/Q335413
Sheraldo Becker,SUR,FW,Union Berlin,28,https://www.wikidata.org/wiki/Q16069260
Kevin Behrens,GER,FW,Union Berlin,32,https://www.wikidata.org/wiki/Q56065664
Timo Baumgartl,GER,DF,Union Berlin,26,https://en.wikipedia.org/wiki/Timo_Baumgartl
Domingos André Ribeiro Almeida,POR,MF,Valencia,22,https://www.wikidata.org/wiki/Q26704452
Edinson Cavani,URU,FW,Valencia,35,https://www.wikidata.org/wiki/Q167790
Samu Castillejo,ESP,FW,Valencia,28,https://www.wikidata.org/wiki/Q17708755
Raúl Albiol,ESP,DF,Villarreal,37,https://www.wikidata.org/wiki/Q4599
Alex Baena,ESP,MFFW,Villarreal,21,https://www.wikidata.org/wiki/Q97404267
Étienne Capoue,FRA,MF,Villarreal,34,https://www.wikidata.org/wiki/Q60595
Leonardo Bittencourt,GER,MFDF,Werder Bremen,29,https://www.wikidata.org/wiki/Q687140
Lee Buchanan,ENG,DFFW,Werder Bremen,21,https://en.wikipedia.org/wiki/Lee_Buchanan_(footballer)
Felix Agu,GER,DFFW,Werder Bremen,23,https://arz.wikipedia.org/wiki/d:Q52357690
Alphonse Areola,FRA,GK,West Ham,29,https://www.wikidata.org/wiki/Q2839693
Nayef Aguerd,MAR,DF,West Ham,26,https://www.wikidata.org/wiki/Q28872567
Michail Antonio,JAM,FW,West Ham,32,https://www.wikidata.org/wiki/Q1966430
Maximilian Arnold,GER,MF,Wolfsburg,28,https://www.wikidata.org/wiki/Q1093851
Ridle Baku,GER,DF,Wolfsburg,24,https://en.wikipedia.org/wiki/Ridle_Baku
Sebastiaan Bornauw,BEL,DF,Wolfsburg,23,https://www.wikidata.org/wiki/Q55806994
